Well,CellCount,MeanCellArea
G03,766,246.1
G04,1060,331.61
G05,1960,331.66
G06,1348,314.57
G07,3750,358.14
G08,6829,351.18
G09,13228,279.79
G10,15287,262.92
G11,21817,256.51
14,,
Timespan(h):,303.035,
B02,1037,239.66
B03,619,275.87
B04,397,325.21
B05,596,328.87
B06,715,324.67
B07,1867,348.58
B08,1733,338.06
B09,9942,294.67
B10,15274,248.07
B11,19370,255.31
C02,550,252.48
C03,1000,250.3
C04,1821,337.76
C05,1201,312.37
C06,2404,335.1
C07,3462,359.19
C08,7017,327.05
C09,20007,269.12
C10,18599,254.37
C11,23797,258.96
D02,573,203.74
D03,753,251.09
D04,1102,338.74
D05,1859,337.74
D06,1884,347.74
D07,4215,382.78
D08,9223,319.15
D09,16559,258.39
D10,23237,258.48
D11,18936,244.63
E02,797,227.77
E03,852,239.43
E04,1435,344.43
E05,932,323.01
E06,2364,338.86
E07,6779,370.69
E08,6960,333.06
E09,19006,268.88
E10,20060,245.6
E11,19145,249.07
F02,613,222.37
F03,864,250.14
F04,900,349.62
F05,1360,335.6
F06,1745,319.67
F07,4201,359.28
F08,5099,331.88
F09,18059,268.52
F10,18920,268.42
F11,19866,269.8
G02,773,226.17
G03,771,265.37
G04,1117,297.96
G05,1935,331.99
G06,1362,317.19
G07,3884,372.26
G08,7334,346.28
G09,14672,284.86
G10,19442,252.51
G11,24516,260.43
15,,
Timespan(h):,325.0783,
B02,1080,242.95
B03,600,285.21
B04,458,299.19
B05,646,315.48
B06,794,323.06
B07,1956,357.97
B08,2161,322.89
B09,12922,288.63
B10,18624,264.62
B11,20774,273.13
C02,504,284.13
C03,954,271.21
C04,1814,335.75
C05,1254,308.51
C06,2325,349.64
C07,3495,364.36
C08,7583,331.12
C09,21706,271.83
C10,20558,268.84
C11,24484,276.76
D02,555,247.86
D03,748,254.59
D04,1076,354.71
D05,1669,364.8
D06,1735,359.58
D07,4594,360.5
D08,9767,319.74
D09,20402,263.86
D10,26882,253.09
D11,22575,258.48
E02,767,247.81
E03,872,250.29
E04,1526,323.43
E05,981,320.42
E06,2318,348.11
E07,6819,365.62
E08,7506,333.13
E09,21397,272.58
E10,24082,258.17
E11,21987,264.8
F02,617,238.51
F03,877,256.55
F04,931,327.93
F05,1367,334.02
F06,1736,330.41
F07,4534,350.68
F08,5184,339.62
F09,20937,267.53
F10,21624,270.96
F11,20387,264.59
G02,767,251.41
G03,765,268.44
G04,1091,315.73
G05,1985,329.84
G06,1376,327.79
G07,3942,370.04
G08,7649,352.66
G09,17491,279.3
G10,20859,279.88
G11,27141,267.08
16,,
Timespan(h):,349.6561,
B02,530,268.3
B03,384,274.44
B04,444,301.73
B05,546,334.04
B06,779,360.71
B07,1889,350.14
B08,2339,312.06
B09,13752,294.75
B10,20992,264.04
B11,22242,274.32
C02,638,283.75
C03,534,297.42
C04,1672,344.49
C05,1009,357.77
C06,1967,340.36
C07,3206,369.35
C08,7512,334.35
C09,19552,291.9
C10,20643,273.76
C11,23414,288.66
D02,795,257.42
D03,587,246.19
D04,805,337.68
D05,1608,339.55
D06,1666,353.42
D07,3674,388.8
D08,10293,307.3
D09,20656,271.53
D10,25298,273.68
D11,22565,255.19
E02,603,255.37
E03,766,268.0
E04,1514,329.35
E05,1061,323.17
E06,2225,336.08
E07,5198,373.8
E08,7894,321.95
E09,20625,282.53
E10,21710,276.83
E11,22693,260.97
F02,517,253.91
F03,845,264.41
F04,1195,308.34
F05,1198,336.13
F06,1588,328.81
F07,4401,354.35
F08,5364,344.61
F09,20900,275.64
F10,21485,278.13
F11,22308,283.01
G02,915,292.99
G03,681,269.13
G04,998,312.57
G05,2271,329.98
G06,1708,329.63
G07,3642,381.89
G08,7705,357.31
G09,17236,287.25
G10,21361,282.25
G11,22975,293.25
17,,
Timespan(h):,373.3131,
B02,549,262.86
B03,417,258.42
B04,505,279.96
B05,583,325.93
B06,876,343.84
B07,1680,365.5
B08,2401,318.02
B09,17248,279.65
B10,23054,265.33
B11,24548,280.26
C02,617,289.11
C03,579,278.38
C04,1593,337.51
C05,1123,338.07
C06,1964,342.41
C07,2756,393.53
C08,8026,330.7
C09,20017,295.42
C10,21596,282.22
C11,23630,297.99
D02,754,288.13
D03,584,254.18
D04,835,346.69
D05,1471,366.32
D06,1681,362.97
D07,4000,368.98
D08,11217,307.53
D09,21111,267.56
D10,25001,287.59
D11,24612,265.84
E02,612,264.87
E03,769,278.87
E04,1503,334.81
E05,1008,333.56
E06,2144,346.88
E07,5386,364.73
E08,8196,323.31
E09,21788,268.72
E10,22609,283.61
E11,24893,274.7
F02,534,259.13
F03,864,271.99
F04,1244,305.4
F05,1204,346.03
F06,1598,332.36
F07,4347,358.66
F08,5679,331.51
F09,21468,285.09
F10,21315,293.94
F11,22834,290.03
G02,981,278.59
G03,711,265.57
G04,987,325.45
G05,2160,346.12
G06,1526,349.64
G07,3692,371.94
G08,8715,337.57
G09,19703,288.21
G10,20753,301.37
G11,25691,296.77
18,,
Timespan(h):,397.6244,
B02,504,297.65
B03,388,290.19
B04,498,297.44
B05,564,337.89
B06,816,363.98
B07,1602,372.51
B08,2457,325.83
B09,19733,275.82
B10,25510,270.03
B11,25861,283.32
C02,571,325.67
C03,616,275.56
C04,1667,322.25
C05,1034,360.61
C06,1829,363.55
C07,2918,389.92
C08,8692,336.81
C09,20368,298.93
C10,24950,278.14
C11,24107,308.54
D02,779,288.0
D03,593,247.18
D04,874,345.28
D05,1627,337.63
D06,1610,360.56
D07,3500,393.41
D08,12514,306.3
D09,22896,271.77
D10,25161,298.56
D11,25762,277.71
E02,631,259.61
E03,779,264.0
E04,1591,330.72
E05,1037,334.04
E06,2123,352.58
E07,4263,403.17
E08,9032,317.0
E09,24522,281.8
E10,23380,292.0
E11,26319,275.1
F02,549,254.4
F03,859,282.22
F04,1218,306.98
F05,1190,335.45
F06,1592,333.15
F07,4007,373.18
F08,5943,330.69
F09,23322,274.21
F10,23290,290.36
F11,22087,298.49
G02,1005,275.3
G03,727,264.6
G04,1000,331.51
G05,2248,345.48
G06,1643,341.62
G07,3788,367.4
G08,9368,326.67
G09,21344,287.12
G10,21544,310.63
G11,25771,303.58
19,,
Timespan(h):,421.7111,
B02,643,320.63
B03,515,302.69
B04,495,345.88
B05,486,338.09
B06,686,366.75
B07,1521,360.48
B08,2926,310.44
B09,19171,284.72
B10,22180,293.78
B11,21844,311.17
C02,364,263.35
C03,712,303.4
C04,1596,329.07
C05,982,350.4
C06,1524,351.67
C07,2073,379.04
C08,9949,305.79
C09,19884,312.53
C10,22228,304.16
C11,18850,348.17
D02,893,300.26
D03,757,274.37
D04,1151,333.9
D05,1804,363.12
D06,1741,364.19
D07,3448,369.37
D08,12885,285.51
D09,20802,299.63
D10,19555,338.82
D11,22488,302.83
E02,884,297.04
E03,950,275.05
E04,1908,313.85
E05,1189,345.91
E06,2618,364.86
E07,4644,395.91
E08,9809,299.62
E09,22064,298.33
E10,18808,319.51
E11,22628,301.58
F02,561,275.32
F03,685,277.65
F04,1298,313.11
F05,1140,337.23
F06,1692,348.95
F07,3409,363.09
F08,6458,320.93
F09,21303,297.59
F10,20193,315.52
F11,20354,312.36
G02,679,280.76
G03,681,271.51
G04,911,317.32
G05,1955,347.47
G06,1092,336.73
G07,3407,357.28
G08,9898,323.74
G09,19711,298.79
G10,22219,311.69
G11,21256,325.76
20,,
Timespan(h):,445.4342,
B02,740,291.26
B03,517,292.94
B04,565,332.5
B05,421,360.15
B06,736,370.48
B07,1557,357.02
B08,3592,298.33
B09,20483,291.13
B10,22284,309.67
B11,19147,330.43
C02,351,294.51
C03,724,308.28
C04,1641,331.8
C05,921,373.08
C06,1393,370.69
C07,2216,371.43
C08,10772,306.94
C09,19860,318.18
C10,21451,314.85
C11,17417,355.26
D02,890,302.29
D03,768,278.55
D04,1118,328.99
D05,1670,378.24
D06,1720,365.73
D07,3541,357.49
D08,14132,285.8
D09,21403,293.9
D10,19473,340.81
D11,22739,310.85
E02,891,298.33
E03,941,278.47
E04,1879,318.7
E05,1223,343.02
E06,2571,371.7
E07,4654,389.66
E08,10988,291.75
E09,21114,308.59
E10,20406,323.61
E11,22874,316.7
F02,551,290.75
F03,704,271.74
F04,1268,325.4
F05,1143,345.08
F06,1675,345.92
F07,3384,370.66
F08,6425,329.89
F09,21200,304.85
F10,18836,328.96
F11,20192,323.88
G02,690,273.16
G03,712,272.42
G04,893,327.58
G05,1948,341.21
G06,1080,331.83
G07,3489,355.23
G08,11048,316.03
G09,21142,296.73
G10,19547,324.1
G11,20333,337.68
21,,
Timespan(h):,469.2903,
B02,715,309.27
B03,521,290.06
B04,561,327.23
B05,454,357.33
B06,787,357.9
B07,1513,358.28
B08,4080,302.8
B09,21726,293.07
B10,23658,304.38
B11,19921,337.16
C02,373,277.22
C03,747,296.27
C04,1397,359.94
C05,769,416.45
C06,1365,371.59
C07,1906,384.96
C08,12234,297.03
C09,19524,321.08
C10,20819,324.2
C11,18085,354.59
D02,862,316.52
D03,768,281.0
D04,1108,343.43
D05,1698,370.09
D06,1568,387.06
D07,3526,360.72
D08,15072,289.23
D09,21799,299.45
D10,21056,332.88
D11,22614,322.42
E02,888,295.89
E03,922,291.99
E04,1737,335.84
E05,1193,357.56
E06,2517,376.31
E07,4568,394.87
E08,12727,279.99
E09,22119,312.77
E10,20519,326.39
E11,22641,324.95
F02,552,300.92
F03,694,274.84
F04,1235,337.49
F05,1101,347.41
F06,1574,354.81
F07,3289,382.49
F08,7282,328.66
F09,21162,311.65
F10,19940,328.66
F11,20019,332.91
G02,670,288.02
G03,730,270.45
G04,821,339.24
G05,1954,341.21
G06,960,349.7
G07,3612,351.5
G08,12729,310.11
G09,23198,296.42
G10,17415,343.6
G11,20357,339.96
22,,
Timespan(h):,493.3592,
B02,830,368.4
B03,791,309.0
B04,570,364.49
B05,709,400.54
B06,933,383.51
B07,1633,390.45
B08,4995,290.21
B09,17730,322.09
B10,17421,358.28
B11,14830,373.97
C02,731,324.75
C03,674,324.08
C04,1593,352.61
C05,1264,391.18
C06,1915,395.72
C07,2297,383.59
C08,12933,287.54
C09,17031,344.74
C10,19520,341.89
C11,15666,375.34
D02,844,317.48
D03,694,305.62
D04,1065,341.42
D05,1919,387.23
D06,1848,387.22
D07,3230,368.88
D08,14685,280.92
D09,18617,329.62
D10,16515,367.49
D11,19086,349.43
E02,868,322.26
E03,985,277.33
E04,1794,328.89
E05,1446,346.56
E06,2501,369.23
E07,4519,406.49
E08,13623,279.77
E09,19168,333.05
E10,17483,349.1
E11,19000,348.48
F02,472,356.5
F03,812,280.26
F04,1284,322.8
F05,1252,350.5
F06,1666,349.28
F07,3242,372.42
F08,8348,305.63
F09,17256,342.21
F10,16899,350.45
F11,15095,361.48
G02,726,299.57
G03,576,300.08
G04,846,342.28
G05,1790,352.02
G06,1187,342.35
G07,4050,343.82
G08,13193,307.82
G09,18420,320.28
G10,16937,351.07
G11,14267,373.53
23,,
Timespan(h):,517.2775,
B02,1115,320.04
B03,768,320.51
B04,617,342.72
B05,759,390.73
B06,922,388.85
B07,1804,381.95
B08,5791,291.72
B09,20549,312.0
B10,17855,348.51
B11,15178,364.82
C02,734,319.35
C03,666,336.13
C04,1466,363.11
C05,1171,405.71
C06,1941,389.36
C07,2088,390.89
C08,14870,276.28
C09,16881,348.66
C10,17674,356.46
C11,14229,375.55
D02,819,324.91
D03,700,319.38
D04,1113,332.18
D05,1966,379.72
D06,1710,397.61
D07,3677,356.63
D08,15882,272.46
D09,18996,329.06
D10,15322,375.01
D11,19234,345.66
E02,914,312.92
E03,976,287.55
E04,1781,331.74
E05,1446,348.63
E06,2438,371.75
E07,4102,407.3
E08,15379,264.14
E09,17791,340.65
E10,17474,350.31
E11,18175,354.65
F02,586,311.27
F03,801,283.76
F04,1296,313.63
F05,1182,360.46
F06,1626,353.84
F07,3183,369.0
F08,9505,299.17
F09,19384,326.53
F10,17357,345.76
F11,15971,354.3
G02,788,266.41
G03,576,293.63
G04,808,355.02
G05,1759,353.52
G06,1163,348.48
G07,4079,353.65
G08,14229,304.29
G09,17738,324.58
G10,17505,346.73
G11,16524,361.18
24,,
