Well,CellCount,MeanCellArea
F08,25298,329.88
F09,36565,305.83
F10,37726,300.51
F11,37484,292.73
G02,1514,342.49
G03,2021,363.32
G04,3069,360.07
G05,4285,348.55
G06,5835,354.69
G07,14043,351.72
G08,21052,339.97
G09,25460,323.05
G10,27794,315.16
G11,33834,294.51
11,,
Timespan(h):,242.3878,
B02,1439,357.46
B03,1813,353.13
B04,2186,377.81
B05,3344,362.04
B06,5672,340.69
B07,16386,328.25
B08,25019,332.47
B09,32471,309.03
B10,36278,297.86
B11,34820,301.58
C02,1847,374.3
C03,1802,361.11
C04,2466,350.33
C05,3193,358.22
C06,8466,342.99
C07,19858,331.33
C08,28487,328.6
C09,32952,317.12
C10,35450,301.37
C11,34879,294.43
D02,1872,364.89
D03,2334,360.2
D04,2537,356.74
D05,3281,360.11
D06,7292,353.49
D07,19525,334.45
D08,27787,333.77
D09,33819,309.78
D10,39045,306.05
D11,35691,301.11
E02,1256,372.24
E03,2225,353.16
E04,2491,348.82
E05,2867,368.22
E06,7286,333.12
E07,21141,333.04
E08,27748,333.92
E09,34619,303.85
E10,37778,306.05
E11,36931,298.35
F02,1624,362.26
F03,1901,353.57
F04,2261,365.73
F05,3064,356.5
F06,9783,333.34
F07,19283,337.37
F08,28472,324.6
F09,38025,308.63
F10,39948,301.41
F11,39990,297.39
G02,1518,343.16
G03,1964,350.99
G04,2819,348.33
G05,4144,341.26
G06,6699,348.78
G07,17485,334.0
G08,23973,334.12
G09,29827,312.98
G10,32606,307.8
G11,37998,292.91
12,,
Timespan(h):,265.7872,
B02,790,344.31
B03,1318,332.59
B04,1601,347.11
B05,3150,345.92
B06,7524,325.91
B07,16682,353.59
B08,24994,350.46
B09,31625,324.76
B10,34591,318.13
B11,35029,315.23
C02,1395,355.81
C03,1238,331.66
C04,1930,320.79
C05,2733,343.56
C06,11539,327.06
C07,20583,350.53
C08,27019,349.5
C09,31821,332.44
C10,34241,318.99
C11,34892,304.87
D02,1235,360.46
D03,1623,315.21
D04,2053,336.32
D05,3069,330.28
D06,9150,334.77
D07,20316,352.16
D08,27303,350.5
D09,33428,322.16
D10,38991,309.67
D11,36045,309.83
E02,1047,351.66
E03,1597,329.8
E04,2145,335.05
E05,2660,330.04
E06,10354,319.03
E07,22288,348.82
E08,27534,349.98
E09,32977,326.46
E10,37536,313.12
E11,36817,308.82
F02,1193,345.95
F03,1287,335.46
F04,1926,339.81
F05,3097,325.3
F06,13440,318.52
F07,20439,352.83
F08,28091,344.23
F09,38182,311.99
F10,39431,309.11
F11,40517,298.97
G02,1144,338.24
G03,1424,327.08
G04,2345,325.69
G05,4691,317.49
G06,9312,336.69
G07,18911,350.0
G08,24278,349.23
G09,29920,327.29
G10,32232,323.97
G11,38127,302.05
13,,
Timespan(h):,290.4314,
B02,1091,317.21
B03,1799,287.75
B04,2060,326.97
B05,3912,329.12
B06,10043,319.33
B07,19032,352.67
B08,26945,341.09
B09,33030,322.27
B10,36665,310.04
B11,35997,311.24
C02,1765,319.19
C03,1549,308.25
C04,2239,304.05
C05,3281,331.52
C06,15527,310.27
C07,21235,353.52
C08,27618,349.68
C09,33140,323.83
C10,35701,313.01
C11,36093,306.28
D02,1664,312.77
D03,1799,303.55
D04,2283,317.03
D05,3537,317.58
D06,11155,336.45
D07,22102,344.94
D08,27388,352.62
D09,34803,316.29
D10,39473,307.9
D11,37498,306.76
E02,1445,325.89
E03,1726,306.35
E04,2385,311.2
E05,2853,321.68
E06,13438,316.66
E07,23354,348.75
E08,28013,348.1
E09,35334,313.46
E10,36978,314.78
E11,37374,311.52
F02,1539,311.54
F03,1551,305.86
F04,2179,327.62
F05,3214,325.89
F06,16955,316.37
F07,22079,347.78
F08,29564,338.41
F09,37416,315.1
F10,37567,314.44
F11,38666,309.14
G02,1370,287.18
G03,1498,299.58
G04,2430,303.95
G05,5203,314.92
G06,12504,330.67
G07,20839,350.7
G08,25056,352.21
G09,31999,325.61
G10,33278,323.63
G11,39076,297.43
14,,
Timespan(h):,313.1089,
B02,1099,300.82
B03,1593,294.49
B04,2014,321.91
B05,5008,318.51
B06,13885,299.17
B07,20414,349.9
B08,26869,344.65
B09,32852,325.53
B10,36009,316.81
B11,35570,316.26
C02,1765,305.56
C03,1546,306.02
C04,2289,294.91
C05,3594,326.34
C06,20467,292.16
C07,22877,346.39
C08,27772,347.41
C09,32461,328.75
C10,35507,316.78
C11,36074,312.25
D02,1727,306.16
D03,1690,294.32
D04,2105,305.6
D05,4201,315.31
D06,15567,316.89
D07,23351,343.55
D08,27376,349.2
D09,34744,316.47
D10,37306,314.06
D11,36973,311.64
E02,1424,318.71
E03,1769,295.48
E04,2204,309.51
E05,3242,320.17
E06,19471,295.91
E07,24601,345.13
E08,28318,347.47
E09,35108,315.27
E10,34112,326.05
E11,36436,318.53
F02,1445,291.19
F03,1413,310.1
F04,2125,317.18
F05,3477,325.86
F06,21244,305.84
F07,22541,348.87
F08,29222,337.29
F09,35044,320.45
F10,36265,320.28
F11,37298,315.51
G02,1469,293.97
G03,1413,282.6
G04,2329,311.52
G05,6487,313.09
G06,16795,317.14
G07,22030,347.62
G08,25831,348.89
G09,33475,323.96
G10,34431,319.67
G11,38150,304.08
15,,
Timespan(h):,336.7275,
B02,1047,310.36
B03,1623,280.42
B04,1856,315.17
B05,6913,315.03
B06,14989,317.3
B07,19360,363.79
B08,25524,354.09
B09,29780,342.32
B10,33925,324.51
B11,33296,330.66
C02,1631,305.41
C03,1444,301.27
C04,2259,292.97
C05,4240,328.23
C06,20669,319.16
C07,21702,360.08
C08,25756,357.18
C09,30885,337.3
C10,33126,331.5
C11,34619,319.44
D02,1512,301.85
D03,1553,290.32
D04,2177,295.71
D05,5633,302.57
D06,16968,327.33
D07,22197,359.49
D08,25658,360.08
D09,32029,329.56
D10,33871,327.21
D11,34131,327.47
E02,1312,328.08
E03,1683,287.0
E04,2212,305.69
E05,3907,312.28
E06,20407,316.49
E07,22324,363.43
E08,26468,355.83
E09,32077,333.6
E10,33576,332.0
E11,34173,332.03
F02,1340,296.95
F03,1471,289.65
F04,2148,306.17
F05,4107,325.68
F06,20512,335.59
F07,21268,365.23
F08,26955,352.67
F09,32666,330.89
F10,33637,333.04
F11,34597,325.96
G02,1389,285.57
G03,1378,281.93
G04,2187,294.49
G05,9488,300.14
G06,16230,348.81
G07,20687,369.02
G08,24064,361.21
