Column,Row,Cell Nuclei / mm^2,Evaluated Area [mm^2],Estimated Total Cell Count,Total Granule Count,Cell Nucleus,Contrast,Size [um^2],Intensity,Roughness,Granularity,Granule Intensity,Granule Count,Longishness,Compactness
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
Timespan (h):,0,,,,,,,,,,,,,,
2,G,3.85E+01,1.15E+01,4.88E+02,1.67E+03,443,2.51E-01,2.09E+02,1.36E+02,5.10E+01,9.57E-01,1.66E+02,3.77E+00,1.33E+00,7.88E-01
3,B,5.83E+01,1.15E+01,7.19E+02,2.50E+03,671,2.51E-01,2.10E+02,1.32E+02,5.08E+01,9.40E-01,1.63E+02,3.72E+00,1.31E+00,7.88E-01
3,C,4.90E+01,1.15E+01,6.28E+02,2.16E+03,564,2.58E-01,2.12E+02,1.35E+02,5.19E+01,9.69E-01,1.65E+02,3.83E+00,1.34E+00,7.87E-01
3,D,8.32E+01,1.15E+01,1.07E+03,3.60E+03,957,2.52E-01,2.11E+02,1.35E+02,5.15E+01,9.54E-01,1.66E+02,3.76E+00,1.34E+00,7.88E-01
3,E,5.96E+01,1.15E+01,1.01E+03,2.74E+03,685,2.55E-01,2.21E+02,1.37E+02,5.27E+01,9.69E-01,1.66E+02,4.00E+00,1.34E+00,7.85E-01
3,F,6.23E+01,1.15E+01,7.90E+02,2.68E+03,716,2.44E-01,2.08E+02,1.36E+02,5.10E+01,9.60E-01,1.64E+02,3.75E+00,1.34E+00,7.89E-01
3,G,4.87E+01,1.15E+01,6.02E+02,2.08E+03,560,2.56E-01,2.04E+02,1.38E+02,5.63E+01,9.81E-01,1.70E+02,3.72E+00,1.31E+00,7.92E-01
4,B,4.18E+01,1.15E+01,5.40E+02,1.82E+03,481,2.48E-01,2.06E+02,1.33E+02,5.16E+01,1.01E+00,1.63E+02,3.78E+00,1.31E+00,7.88E-01
4,C,6.07E+01,1.15E+01,7.80E+02,2.58E+03,698,2.55E-01,2.10E+02,1.35E+02,5.51E+01,9.55E-01,1.67E+02,3.69E+00,1.32E+00,7.85E-01
4,D,6.19E+01,1.15E+01,7.82E+02,2.74E+03,712,2.62E-01,2.13E+02,1.37E+02,5.28E+01,9.93E-01,1.69E+02,3.85E+00,1.33E+00,7.89E-01
4,E,8.72E+01,1.15E+01,1.09E+03,3.84E+03,1003,2.45E-01,2.13E+02,1.35E+02,4.67E+01,9.60E-01,1.64E+02,3.83E+00,1.34E+00,7.87E-01
4,F,6.69E+01,1.15E+01,8.50E+02,2.97E+03,769,2.48E-01,2.11E+02,1.37E+02,5.24E+01,9.61E-01,1.66E+02,3.86E+00,1.34E+00,7.87E-01
